"CustomerID","MeanValue","LastTransaction","NoTransaction","MonetoryPercentile","FrequencyPercentile","RecencyPercentile","MonetoryScore","FrequencyScore","RecencyScore","MonetoryWeightedScore","FrequencyWeightedScore","RecencyWeightedScore","FinalScore","FinalWeightedScore","FinalCustomerClass","final_type"
"1222",-25.1383333333333,2003-10-08,6,0.0306087551299588,0.689466484268126,0.568912448700409,1,4,3,5,20,15,40,2.66666666666667,"Class-2","Casino"
"1223",252.894,2004-12-12,15,0.880471956224396,0.885601915184679,0.936559507523939,5,5,5,25,25,25,75,5,"Class-5","Casino"
"1224",24.32,2002-06-04,1,0.305061559507522,0,0.194767441860465,2,1,1,10,5,5,20,1.33333333333333,"Class-1","Casino"
"1225",138.859582352941,2004-12-16,17,0.779753761969931,0.902359781121751,0.946477428180574,4,5,5,20,25,25,70,4.66666666666667,"Class-4","Casino"
"1226",515.432466666667,2004-09-26,15,0.943912448700469,0.885601915184679,0.818741450068399,5,5,5,25,25,25,75,5,"Class-5","Casino"
"1227",28.865,2004-04-11,2,0.345417236662101,0.352941176470588,0.659028727770177,2,2,4,10,10,20,40,2.66666666666667,"Class-2","Casino"
"1228",58.47155,2004-06-27,8,0.538987688098478,0.763337893296854,0.705369357045142,3,4,4,15,20,20,55,3.66666666666667,"Class-3","Hotel & Casino"
"1230",47.6,2002-06-29,1,0.477086183310513,0,0.236149110807114,3,1,2,15,5,10,30,2,"Class-2","Casino"
"1231",34.8393355481728,2004-12-31,301,0.39329685362516,0.999487004103969,0.985294117647058,2,5,5,10,25,25,60,4,"Class-4","Casino"
"1232",13.9342033898305,2004-12-19,59,0.205369357045147,0.982900136798906,0.953659370725034,2,5,5,10,25,25,60,4,"Class-4","Hotel & Casino"
"1234",23.93125,2004-09-14,8,0.299589603283173,0.763337893296854,0.783173734610122,2,4,4,10,20,20,50,3.33333333333333,"Class-3","Casino"
"1235",467.59,2002-03-01,3,0.938440492476117,0.497435020519836,0.0660054719562244,5,3,1,25,15,5,45,3,"Class-3","Casino"
"1236",53.566,2004-09-28,10,0.510430916552646,0.815492476060192,0.822332421340629,3,5,5,15,25,25,65,4.33333333333333,"Class-4","Casino"
"1237",33.4733333333333,2004-09-14,3,0.384575923392603,0.497435020519836,0.783173734610122,2,3,4,10,15,20,45,3,"Class-3","Casino"
"1238",25.9,2002-09-19,1,0.318057455540353,0,0.379958960328317,2,1,2,10,5,10,25,1.66666666666667,"Class-1","Casino"
"1239",6.97666666666667,2002-06-18,3,0.141415868673052,0.497435020519836,0.219391244870041,1,3,2,5,15,10,30,2,"Class-2","Casino"
"124",2201.2858125,2005-01-03,16,0.988372093023323,0.895861833105335,0.995896032831737,5,5,5,25,25,25,75,5,"Class-5","Casino"
