DIST_NAME,AC_NAME,AC_TYPE,Name,Gender,Caste,Age,Party,Votes,POSITION,Polled,Electors,MLA.12,Party.12,,Match,cand,const,party,Criminal Case ,Education ,Total Assets,ser,ABBAS AHAMADMariyahu,Abbas AhmadMARIYAHU
Ballia,Sikanderpur,GEN,ZIAUDDIN RIZWI,M,GEN,51,SP,45988,2,164623,286805,JIAUDDIN RIJVI,SP,ZIAUDDIN RIZWISikanderpur,Ziyauddin RizviSIKANDERPUR,Ziyauddin Rizvi,SIKANDERPUR,SP,0,Graduate,22463063,NA,,
Balrampur,Tulsipur,GEN,ZEBA RIZWAN,F,GEN,33,INC,43637,2,197498,367415,ABDUL MASHHOOD KHAN,SP,ZEBA RIZWANTulsipur,Zeba RizwanTULSIPUR,Zeba Rizwan,TULSIPUR,INC,0,Post Graduate,357000,NA,,
Ghaziabad,Loni,GEN,ZAKIR ALI,M,GEN,38,BSP,70275,2,274588,456713,ZAKIR ALI,BSP,ZAKIR ALILoni,Zakir AliLONI,Zakir Ali,LONI,BSP,0,10th Pass,189750228,NA,,
Kushinagar,Kushinagar,GEN,ZAKIR ALI,M,GEN,72,NCP,1764,5,203581,354951,BRAMHASHANKAR TRIPATHI,SP,ZAKIR ALIKushinagar,Zakir AliKUSHINAGAR,Zakir Ali,KUSHINAGAR,NCP,0,Post Graduate,10588000,NA,,
Deoria,Pathardeva,GEN,ZAINUL ABEDIN,M,GEN,35,AIMIM,1820,5,191649,317739,SHAKIR ALI,SP,ZAINUL ABEDINPathardeva,Zainul AbedinPATHARDEVA,Zainul Abedin,PATHARDEVA,All India Majlis-E-Ittehadul Muslimeen,0,Post Graduate,600000,NA,,
Sant Ravidas Nagar,Bhadohi,GEN,ZAHID BEG,M,GEN,52,SP,78414,2,239549,415458,JAHID BEG,SP,ZAHID BEGBhadohi,Zahid BegBHADOHI,Zahid Beg,BHADOHI,SP,3,12th Pass,14246039,NA,,
Aligarh,Aligarh,GEN,ZAFAR ALAM,M,GEN,72,SP,98312,2,246146,370237,ZAFAR ALAM,SP,ZAFAR ALAMAligarh,Zafar AlamALIGARH,Zafar Alam,ALIGARH,SP,0,Graduate,409469000,NA,,
Varanasi,Sevapuri,GEN,YUSUF,M,GEN,41,IEMC,1550,6,206534,318423,SURENDRA SINGH PATEL,SP,YUSUFSevapuri,YusufSEVAPURI,Yusuf,SEVAPURI,Ittehad-E-Millait Council,0,Graduate Professional,244399,NA,,
Muzaffarnagar,Budhana,GEN,YOGRAJ SINGH,M,GEN,44,RLD,23732,4,241134,359140,NAWAZISH ALAM KHAN,SP,YOGRAJ SINGHBudhana,Yograj SinghBUDHANA,Yograj Singh,BUDHANA,RLD,0,12th Pass,24794535,NA,,
Gorakhpur,Chillupar,GEN,YOGESH MANI TIWARI,M,GEN,28,NINSHAD,3241,4,220374,431450,RAJESH TRIPATHI,BSP,YOGESH MANI TIWARIChillupar,YogeshCHILLUPAR,Yogesh,CHILLUPAR,Nirbal Indian Shoshit Hamara Aam Dal,0,Post Graduate,5835000,NA,HAKIM LAL BINDHandia,Hakim LalHANDIA
Kheri,LAKHIMPUR,GEN,YOGESH VERMA,M,GEN,43,BJP,122677,1,255740,393426,UTKARSH VERMA MADHUR,SP,YOGESH VERMALAKHIMPUR,Yogesh VermaLAKHIMPUR,Yogesh Verma,LAKHIMPUR,BJP,0,Post Graduate,9768938,NA,,
Meerut,Hastinapur ,SC,YOGESH VERMA,M,SC,48,BSP,63374,2,221872,326707,PRABHU DAYAL BALMIKI,SP,YOGESH VERMAHastinapur ,Yogesh VermaHASTINAPUR ,Yogesh Verma,HASTINAPUR ,BSP,5,12th Pass,26875816,1,,
Auraiya,Dibiyapur,GEN,YOGESH PRATAP SINGH,M,SC,27,BMUP,287,13,191626,309502,PRADEEP KUMAR,SP,YOGESH PRATAP SINGHDibiyapur,Yogesh Pratap SinghDIBIYAPUR,Yogesh Pratap Singh,DIBIYAPUR,Bahujan Mukti Party,0,Post Graduate,2435000,NA,,
Gonda,Colonelganj,GEN,YOGESH PRATAP SINGH,M,GEN,58,SP,54462,2,182497,314862,YOGESH PRATAP SINGH  'YOGESH BHAIYA',SP,YOGESH PRATAP SINGHColonelganj,Yogesh Pratap SinghCOLONELGANJ,Yogesh Pratap Singh,COLONELGANJ,SP,0,Graduate Professional,158954284,NA,,
Mathura,Mathura,GEN,YOGESH KUMAR,M,GEN,44,BSP,31168,3,253211,425749,PRADEEP MATHUR,INC,YOGESH KUMARMathura,Yogesh KumarMATHURA,Yogesh Kumar,MATHURA,BSP,2,Graduate,26268987,1,,
Bijnor,Noorpur,GEN,YOGESH URF TILLU TYAGI,M,GEN,45,RLD,2172,5,203116,303478,LOKENDRA SINGH,BJP,YOGESH URF TILLU TYAGINoorpur,Yogesh Kumar TyagiNOORPUR,Yogesh Kumar Tyagi,NOORPUR,RLD,0,8th Pass,4799392,NA,SATRUGHNA ALIAS SATRUGHAN SINGH NISHADPaniyara,Satrughan Alias Satrughan Singh NishadPANIYRA
Lucknow,LUCKNOW CANTT.,GEN,YOGESH DIXIT,M,GEN,55,BSP,26036,3,187581,368311,JAGDISH SONKAR,SP,YOGESH DIXITLUCKNOW CANTT.,Yogesh DixitLUCKNOW CANTT.,Yogesh Dixit,LUCKNOW CANTT.,BSP,0,Graduate Professional,125604612,NA,,
Baghpat,Baghpat,GEN,YOGESH DHAMA,M,GEN,41,BJP,92566,1,198678,301360,HEMLATA CHAUDHARY,BSP,YOGESH DHAMABaghpat,Yogesh DhamaBAGHPAT,Yogesh Dhama,BAGHPAT,BJP,1,Graduate,25476703,1,,
Mathura,Mant,GEN,YOGESH CHAUDHARY,M,GEN,44,RLD,65430,2,210696,316496,JAYANT CHAUDHARY,RLD,YOGESH CHAUDHARYMant,Yogesh ChaudharyMANT,Yogesh Chaudhary,MANT,RLD,0,Graduate,108409140,NA,,
Ghazipur,Ghazipur,GEN,YOGENDRA,M,SC,32,CPI(ML)(L),483,10,213646,338759,VIJAY KUMAR MISHRA,SP,YOGENDRAGhazipur,YogendraGHAZIPUR,Yogendra,GHAZIPUR,CPI(ML)(L),0,Graduate,5134,NA,,
Agra,Agra South,GEN,YOGENDRA UPADHYAYA,M,GEN,61,BJP,111882,1,217256,348912,YOGENDRA UPADHYAYA,BJP,YOGENDRA UPADHYAYAAgra South,Yogendra UpadhyayAGRA SOUTH,Yogendra Upadhyay,AGRA SOUTH,BJP,7,Post Graduate,18427155,1,AFZAAL KAUSARBiswan,Afzal KausarBISWAN
Hardoi,Sandila,GEN,YOGENDRA SINGH,M,GEN,28,CPI,1387,5,198651,334078,KUNWAR MAHABIR SINGH,SP,YOGENDRA SINGHSandila,Yogendra SinghSANDILA,Yogendra Singh,SANDILA,CPI,0,Graduate,690000,NA,,
Kanpur Dehat,Bhognipur,GEN,YOGENDRA PAL SINGH,M,GEN,75,SP,48181,3,212732,333056,YOGENDRA PAL SINGH,SP,YOGENDRA PAL SINGHBhognipur,Yogendra Pal SinghBHOGNIPUR,Yogendra Pal Singh,BHOGNIPUR,SP,0,Graduate Professional,9450347,NA,,
Kheri,DHAURAHRA,GEN,YESHPAL SINGH CHAUDHARI,M,GEN,59,SP,76456,2,221330,321722,SHAMSHER BAHADUR ALIAS SHEROOBHAIYA,BSP,YESHPAL SINGH CHAUDHARIDHAURAHRA,Yeshpal Singh ChaudharyDHAURAHRA,Yeshpal Singh Chaudhary,DHAURAHRA,SP,0,Graduate,42563627,NA,INDRAJEET KUMAR SINGH &QUOT;PATEL&QUOT;Shivpur,Indrajeet Kumar SinghSHIVPUR
Azamgarh,Nizamabad,GEN,YATINJAY RAJ,M,GEN,27,NCP,538,10,167478,303975,ALAMBADI,SP,YATINJAY RAJNizamabad,Yatinjay RajNIZAMABAD,Yatinjay Raj,NIZAMABAD,NCP,0,12th Pass,5000,NA,,
Gorakhpur,Sahajanwa,GEN,YASPAL SINGH RAWAT,M,GEN,40,SP,56836,2,209449,356165,RAJENDRA,BSP,YASPAL SINGH RAWATSahajanwa,Yaspal Singh RawatSAHAJANWA,Yaspal Singh Rawat,SAHAJANWA,SP,9,10th Pass,17299300,1,,
Meerut,Siwalkhas,GEN,YASHVEER SINGH,M,GEN,57,RLD,44710,3,225388,318698,GHULAM MOHAMMED,SP,YASHVEER SINGHSiwalkhas,Yashvir SinghSIWALKHAS,Yashvir Singh,SIWALKHAS,RLD,0,12th Pass,19790246,NA,,
Jhansi,Babina,GEN,YASHPAL SINGH YADAV,M,GEN,33,SP,79876,2,230294,323440,KRISHNA PAL SINGH RAJPOOT,BSP,YASHPAL SINGH YADAVBabina,Yashpal YadavBABINA,Yashpal Yadav,BABINA,SP,0,Post Graduate,93868999,NA,AWADH NARAYANRudrapur,Awadh Narayan PandeyRUDRAPUR
Hathras,Sikandra Rao,GEN,YASHPAL SINGH CHAUHAN,M,GEN,65,SP,59740,3,216293,350277,RAMVEER UPADHYAY,BSP,YASHPAL SINGH CHAUHANSikandra Rao,Yashpal Singh ChauhanSIKANDRA RAO,Yashpal Singh Chauhan,SIKANDRA RAO,SP,0,Graduate,17230975,NA,,
Maharajganj,Siswa,GEN,YASH TRIPATHI,M,GEN,33,PECP,2659,5,239383,366103,SHIVENDRA SINGH ALIAS SHIV BABU,SP,YASH TRIPATHISiswa,Yash TripathiSISWA,Yash Tripathi,SISWA,Peace Party,4,Graduate,9300000,1,,
Sultanpur,Isauli,GEN,YASH BHADRA SINGH &QUOT;MONU&QUOT;,M,GEN,38,RLD,43026,3,192136,339883,ABRAR AHMAD,SP,YASH BHADRA SINGH &QUOT;MONU&QUOT;Isauli,Yash Bhadra Singh MonuISAULI,Yash Bhadra Singh Monu,ISAULI,RLD,13,Post Graduate,113914141,1,MINTU RAJBHARShivpur,MintuSHIVPUR
Baharaich,Nanpara,GEN,YASEEN,M,GEN,33,RTKP,2070,7,193103,331660,MADHURI VERMA,INC,YASEENNanpara,YaseenNANPARA,Yaseen,NANPARA,Rashtriya Kranti Party,0,12th Pass,50000,NA,,
Baharaich,Matera,GEN,YASAR SHAH,M,GEN,39,SP,79188,1,200730,324805,YASAR SHAH,SP,YASAR SHAHMatera,Yasar ShahMATERA,Yasar Shah,MATERA,SP,0,Post Graduate,71669614,NA,,
Azamgarh,Atrauliya,GEN,YADUNATH,M,GEN,39,ASSP,198,13,211237,359276,DR.SANGRAM YADAV,SP,YADUNATHAtrauliya,YadunathATRAULIYA,Yadunath,ATRAULIYA,Asankhya Samaj Party,0,Literate,3396000,NA,,
Hardoi,Sawaijpur,GEN,YADUNANDAN LAL,M,GEN,62,JAM,3569,4,231885,384720,RAJANI TIWARI,BSP,YADUNANDAN LALSawaijpur,YadunandanlalSAWAYAZPUR,Yadunandanlal,SAWAYAZPUR,Jan Adhikar Manch,0,Post Graduate,11009000,NA,VIR BAHADUR ALIAS VIR BAHADUR DHAKRAYKheragarh,Veer Bahadur Urf Veer Bahadur DhakreKHERAGARH
Bijnor,Nagina ,SC,YADRAM SINGH CHANDEL,M,SC,52,RLD,2113,6,209949,328589,MANOJ KUMAR PARAS,SP,YADRAM SINGH CHANDELNagina ,Yadram SinghNAGINA ,Yadram Singh,NAGINA ,RLD,0,Graduate,8805000,NA,SADABRIJKerakat S.C.,SadabrijKERAKAT 
Barabanki,Ram Nagar,GEN,WARIS ALI,M,GEN,72,BMUP,533,12,223077,326186,ARVIND KUMAR SINGH 'GOP',SP,WARIS ALIRam Nagar,Waris AliRAM NAGAR,Waris Ali,RAM NAGAR,Bahujan Mukti Party,0,8th Pass,2482000,NA,,
Ghaziabad,Modi Nagar,GEN,WAHAB,M,GEN,56,BSP,42049,2,215895,333378,SUDESH SHARMA,RLD,WAHABModi Nagar,WahabMODI NAGAR,Wahab,MODI NAGAR,BSP,1,10th Pass,77249000,NA,,
Shahjahanpur,Katra,GEN,VIVIDH KUMAR,M,GEN,36,RLD,1288,5,193001,313965,RAJESH YADAV,SP,VIVIDH KUMARKatra,Vividh KumarKATRA,Vividh Kumar,KATRA,RLD,0,Graduate,970000,NA,,
Mau,Ghosi,GEN,VIVEK RAI,M,GEN,26,CPI,2285,4,241719,410326,SUDHAKAR,SP,VIVEK RAIGhosi,VivekGHOSI,Vivek,GHOSI,CPI,3,12th Pass,21000,1,KRISHNA DUTTJahanabad,Krishan DuttJAHANABAD
Jaunpur,Malhani,GEN,VIVEK  YADAV,M,GEN,34,BSP,46011,3,207665,345857,PARAS NATH YADAW,SP,VIVEK  YADAVMalhani,Vivek YadavMALHANI,Vivek Yadav,MALHANI,BSP,0,Graduate Professional,44368030,NA,RAJPAL SINGH CHAUHANThakurdwara,Rajpal SinghTHAKURDWARA
Rae Bareli,Unchahar,GEN,VIVEK VIKRAM SINGH,M,GEN,31,BSP,45356,3,207111,325371,MANOJ KUMAR PANDEY,SP,VIVEK VIKRAM SINGHUnchahar,Vivek Vikram SinghUNCHAHAR,Vivek Vikram Singh,UNCHAHAR,BSP,0,Graduate,44217904,NA,,
Bijnor,Nehtaur,SC,VIVEK SINGH,M,SC,27,BSP,47059,3,188238,286410,OM KUMAR,BSP,VIVEK SINGHNehtaur,Vivek SinghNEHTAUR ,Vivek Singh,NEHTAUR ,BSP,0,Post Graduate,42538051,NA,SANJIV KUMARObra,Sanjiv KumarOBRA 
Mirzapur,Majhawan,GEN,VIVEK KUMAR,M,GEN,29,BRJ,356,19,240274,376709,RAMESH CHAND,BSP,VIVEK KUMARMajhawan,Vivek KumarMAJHAWAN,Vivek Kumar,MAJHAWAN,Bhartiya Rashtriya Jansatta,0,Post Graduate,985000,NA,,
Fatehpur,Jahanabad,GEN,VIVEK KUMAR,M,GEN,27,BSCP,2117,5,181500,296282,MADAN GOPAL VERMA,SP,VIVEK KUMARJahanabad,Vivek KumarJAHANABAD,Vivek Kumar,JAHANABAD,Bhartiya Shakti Chetna Party,0,Graduate,160000,NA,,
Kannauj,Chhibramau,GEN,VIVEK KUMAR,M,GEN,26,JAM,570,10,269398,422147,ARVIND SINGH YADAV,SP,VIVEK KUMARChhibramau,Vivek KumarCHHIBRAMAU,Vivek Kumar,CHHIBRAMAU,Jan Adhikar Manch,0,Post Graduate,521000,NA,,
Banda,Banda,GEN,VIVEK KUMAR SINGH,M,GEN,61,INC,32223,3,182409,304204,VIVEK KUMAR SINGH,INC,VIVEK KUMAR SINGHBanda,Vivek Kumar SinghBANDA,Vivek Kumar Singh,BANDA,INC,3,Graduate Professional,132124898,1,,
Agra,Agra North,GEN,VIVEK KUMAR JAIN,M,GEN,41,BSCP,177,16,230858,395511,JAGAN PRASAD GARG,BJP,VIVEK KUMAR JAINAgra North,Vivek Kumar JainAGRA NORTH,Vivek Kumar Jain,AGRA NORTH,Bhartiya Shakti Chetna Party,0,Graduate,1705000,NA,,
Moradabad,Moradabad Rural,GEN,VIVEK GUPTA,M,GEN,43,AVIRP,234,15,221547,356446,SHAMEEMUL HAQ,SP,VIVEK GUPTAMoradabad Rural,Vivek GuptaMORADABAD RURAL,Vivek Gupta,MORADABAD RURAL,AARAKSHAN VIRODHI PARTY,0,Graduate Professional,7227000,NA,,
Aligarh,Koil,GEN,VIVEK BANSAL,M,GEN,58,INC,38623,3,228600,363057,ZAMEER ULLAH KHAN,SP,VIVEK BANSALKoil,Vivek BansalKOIL,Vivek Bansal,KOIL,INC,0,Graduate,66172002,NA,,
Kushinagar,Fazilnagar,GEN,VISHWNATH,M,GEN,78,SP,60856,2,214539,382962,GANGA,BJP,VISHWNATHFazilnagar,VishwnathFAZILNAGAR,Vishwnath,FAZILNAGAR,SP,0,Post Graduate,27492222,NA,,
Barabanki,Rudauli,GEN,VISHWAJEET TRIPATHI,M,GEN,27,JSK,541,25,210250,336229,RAM CHANDRA YADAV,BJP,VISHWAJEET TRIPATHIRudauli,Vishwajeet TripathiRUDAULI,Vishwajeet Tripathi,RUDAULI,Jan Sevak Party,0,Post Graduate,440000,NA,,
Faizabad,Rudauli,GEN,VISHWAJEET TRIPATHI,M,GEN,27,JSK,541,26,210250,336229,RAM CHANDRA YADAV,BJP,VISHWAJEET TRIPATHIRudauli,Vishwajeet TripathiRUDAULI,Vishwajeet Tripathi,RUDAULI,Jan Sevak Party,0,Post Graduate,440000,NA,,
Sitapur,Sitapur,GEN,VISHWADEEP ANAND,M,GEN,28,SDU,303,13,234246,378839,RADHEYSHYAM JAISWAL,SP,VISHWADEEP ANANDSitapur,Vishwadeep AnandSITAPUR,Vishwadeep Anand,SITAPUR,Sabka Dal United,0,Graduate,414000,NA,,
Gonda,Gonda,GEN,VISHWANATH,M,SC,25,BDPty,739,10,193673,342315,VINOD KUMAR URF PANDIT SINGH,SP,VISHWANATHGonda,Vishwa NathGONDA,Vishwa Nath,GONDA,Bharatrashtra Democratic Party,0,12th Pass,1142500,NA,KRISHNA PASWANKhaga,Krishna PalBABINA
Rae Bareli,Rae Bareli,GEN,VISHWA NATH VERMA,M,GEN,61,RAJADP,543,11,207443,351324,AKHILESH KUMAR SINGH,PECP,VISHWA NATH VERMARae Bareli,Vishwa Nath VermaRAE BARELI,Vishwa Nath Verma,RAE BARELI,Rashtriya Jan Adhikar Party,0,Post Graduate,23787000,NA,,
Kanpur Nagar,Maharajpur,GEN,VISHVA NATH YADAV,M,GEN,52,NCP,599,8,236806,409049,SATISH MAHANA,BJP,VISHVA NATH YADAVMaharajpur,Vishva Nath YadavMAHARAJPUR,Vishva Nath Yadav,MAHARAJPUR,NCP,0,10th Pass,3575304,NA,,
Saharanpur,Rampur Maniharan ,SC,VISHVA DAYAL CHHOTAN,M,SC,36,INC,61787,3,218927,297983,RAVINDER KUMAR MOLHU,BSP,VISHVA DAYAL CHHOTANRampur Maniharan ,Vishva DayalRAMPUR MANIHARAN,Vishva Dayal,RAMPUR MANIHARAN,INC,10,Graduate,13530000,1,SUNIL KUMARKhaga,Sunil KumarKHAGA 
Farrukhabad,Bhojpur,GEN,VISHRAM SINGH,M,GEN,77,RLD,524,10,187726,307153,JAMALUDDIN SIDDIQUI,SP,VISHRAM SINGHBhojpur,Vishram SinghBHOJPUR,Vishram Singh,BHOJPUR,RLD,0,Post Graduate,1253000,NA,,
Jalaun,Madhaugarh,GEN,VISHNU KUMAR CHATURVEDI,M,GEN,41,RshJP,701,14,252667,431297,SANTRAM,BSP,VISHNU KUMAR CHATURVEDIMadhaugarh,Vishnu Kumar ChaturvediMADHAUGARH,Vishnu Kumar Chaturvedi,MADHAUGARH,Rashtriya Janshanti Party,0,Graduate Professional,3285000,NA,,
Ghaziabad,Modi Nagar,GEN,VISHANT,M,SC,26,RLrP,169,10,215895,333378,SUDESH SHARMA,RLD,VISHANTModi Nagar,VishantMODI NAGAR,Vishant,MODI NAGAR,Rashtriya Lokraj Party,0,12th Pass,12611,NA,,
Banda,Baberu,GEN,BISHAMBHAR SINGH,M,GEN,63,SP,51693,3,193922,327885,VISHAMBHAR SINGH,SP,BISHAMBHAR SINGHBaberu,Vishambhar SinghBABERU,Vishambhar Singh,BABERU,SP,3,Post Graduate,50159959,1,ASHUTOSH PANDEYSultanpur,AshutoshSULTANPUR
Varanasi,Varanasi North,GEN,VISHAL MISHRA,M,GEN,33,SaJPCs,385,11,227796,384603,RAVINDRA JAISWAL,BJP,VISHAL MISHRAVaranasi North,Vishal MishraVARANASI NORTH,Vishal Mishra,VARANASI NORTH,Samajwadi Janata Party (ChandraShekhar),0,Graduate,4211139,NA,,
Muzaffarnagar,Charthawal,GEN,VISHAL KUMAR,M,GEN,38,NINSHAD,975,6,206982,314338,NOOR SALEEM RANA,BSP,VISHAL KUMARCharthawal,Vishal KumarCHARTHAWAL,Vishal Kumar,CHARTHAWAL,Nirbal Indian Shoshit Hamara Aam Dal,6,Literate,5803000,1,,
Sambhal,Chandausi ,SC,VIRMAWATI,F,SC,47,BSP,51049,3,224088,363471,LAXMI GAUTAM,SP,VIRMAWATIChandausi ,VirmawatiCHANDAUSI ,Virmawati,CHANDAUSI ,BSP,0,Literate,27808447,NA,,
Aligarh,Atrauli,GEN,VIRESH YADAV,M,GEN,51,SP,64430,2,232591,382530,VIRESH YADAV,SP,VIRESH YADAVAtrauli,Viresh YadavATRAULI,Viresh Yadav,ATRAULI,SP,3,Graduate Professional,32877500,1,,
Etah,Marhara,GEN,VIRENDRA,M,GEN,46,BJP,92507,1,191365,296197,AMIT GAURAV,SP,VIRENDRAMarhara,VirendraMARHARA,Virendra,MARHARA,BJP,5,Graduate,20658966,1,,
Hapur,Dholana,GEN,VIRENDRA,M,GEN,48,RSHP,383,15,253860,379476,DHARMESH SINGH TOMAR,SP,VIRENDRADholana,VirendraDHOLANA,Virendra,DHOLANA,Rashtravadi Pratap Sena,1,12th Pass,3635646,1,,
Ghaziabad,Dholana,GEN,VIRENDRA,M,GEN,48,RSHP,383,16,253860,379476,DHARMESH SINGH TOMAR,SP,VIRENDRADholana,VirendraDHOLANA,Virendra,DHOLANA,Rashtravadi Pratap Sena,1,12th Pass,3635646,1,,
Gorakhpur,Chauri-Chaura,GEN,VIRENDRA TIWARI,M,GEN,61,SHS,556,15,193809,339854,JAY PRAKASH,BSP,VIRENDRA TIWARIChauri-Chaura,Virendra TiwariCHAURI-CHAURA,Virendra Tiwari,CHAURI-CHAURA,SHS,0,Post Graduate,1390000,NA,,
Bareilly,Bithari Chainpur,GEN,VIRENDRA SINGH,M,GEN,57,BSP,53286,3,234958,362526,VIRENDRA SINGH,BSP,VIRENDRA SINGHBithari Chainpur,Virendra SinghBITHARI CHAINPUR,Virendra Singh,BITHARI CHAINPUR,BSP,3,Post Graduate,87344187,1,,
Kasganj,Amanpur,GEN,VIRENDRA SINGH SOLANKI,M,GEN,67,SP,43395,2,183830,292812,MAMTESH,BSP,VIRENDRA SINGH SOLANKIAmanpur,Virendra Singh SolankiAMANPUR,Virendra Singh Solanki,AMANPUR,SP,0,Post Graduate,20380000,NA,,
Bulandsahar,Bulandshahr,GEN,VIRENDRA SINGH SIROHI,M,GEN,71,BJP,111538,1,245233,381340,MOHD. ALEEM KHAN,BSP,VIRENDRA SINGH SIROHIBulandshahr,Virendra Singh SirohiBULANDSHAHR,Virendra Singh Sirohi,BULANDSHAHR,BJP,1,Graduate Professional,23234044,NA,,
Sonbhadra,Obra,ST,VIRENDRA PRATAP SINGH,M,ST,33,BSP,29113,3,162852,307843,SUNIL KUMAR,BSP,VIRENDRA PRATAP SINGHObra,Virendra Pratap SinghOBRA ,Virendra Pratap Singh,OBRA ,BSP,0,Graduate Professional,427617,NA,SATYA PAL SINGH BAGHELTundla ,Satya Pal SinghALIGANJ
Bijnor,Nagina ,SC,VIRENDRA PAL,M,SC,31,BSP,49693,3,209949,328589,MANOJ KUMAR PARAS,SP,VIRENDRA PALNagina ,Virendra PalNAGINA ,Virendra Pal,NAGINA ,BSP,0,Post Graduate,11569798,NA,,
Hardoi,Sandi ,SC,VIRENDRA KUMAR,M,SC,44,BSP,50725,3,185716,317368,RAJESHWARI,SP,VIRENDRA KUMARSandi ,Virendra KumarSANDI ,Virendra Kumar,SANDI ,Bharatiya Subhash Sena,0,8th Pass,300000,NA,,
Hardoi,Sandi ,SC,VIRENDRA KUMAR,M,SC,32,BSRD,556,11,185716,317368,RAJESHWARI,SP,VIRENDRA KUMARSandi ,Virendra KumarSANDI ,Virendra Kumar,SANDI ,Bharatiya Subhash Sena,0,8th Pass,300000,NA,,
Gorakhpur,Khajani ,SC,VIRENDRA KUMAR,M,SC,31,BMUP,935,9,187847,364495,SANT PRASAD,BJP,VIRENDRA KUMARKhajani ,Virendra KumarKHAJANI ,Virendra Kumar,KHAJANI ,Bahujan Mukti Party,0,Post Graduate,349000,NA,,
Ghazipur,Jangipur,GEN,VIRENDRA KUMAR YADAV,M,GEN,35,SP,71441,1,214827,346551,KAILASH,SP,VIRENDRA KUMAR YADAVJangipur,Virendra Kumar YadavJANGIPUR,Virendra Kumar Yadav,JANGIPUR,SP,0,Doctorate,71869905,NA,,
Lucknow,LUCKNOW CANTT.,GEN,VIRENDRA KUMAR SHUKLA,M,GEN,50,RLD,720,5,187581,368311,JAGDISH SONKAR,SP,VIRENDRA KUMAR SHUKLALUCKNOW CANTT.,Virendra Kumar ShuklaLUCKNOW CANTT.,Virendra Kumar Shukla,LUCKNOW CANTT.,RLD,0,Post Graduate,4755115,NA,,
Kanpur Nagar,Govindnagar,GEN,VIRENDRA KUMAR SARVARIA,M,SC,31,BMUP,998,5,185359,349180,SATYADEV PACHAURI,BJP,VIRENDRA KUMAR SARVARIAGovindnagar,Virendra Kumar SarvariaGOVINDNAGAR,Virendra Kumar Sarvaria,GOVINDNAGAR,Bahujan Mukti Party,0,Post Graduate,441000,NA,,
Shrawasti,Shrawasti,GEN,VIRENDRA KUMAR MAURYA,M,GEN,34,VP,748,15,241748,380716,MUHAMMAD RAMJAN,SP,VIRENDRA KUMAR MAURYAShrawasti,Virendra Kumar MauryaSHRAWASTI,Virendra Kumar Maurya,SHRAWASTI,Vikas Party,0,Post Graduate,3763760,NA,,
Kheri,PALIA,GEN,VIRENDRA KUMAR AGARWAL,M,GEN,71,BSP,43436,3,231833,340784,HARVINDAR KUMAR SAHANI ALIAS ROMI SAHANI,BSP,VIRENDRA KUMAR AGARWALPALIA,Virendra Kumar AgrwalPALIA,Virendra Kumar Agrwal,PALIA,BSP,0,Graduate Professional,41627867,NA,SEEMA DWIVEDIMungra Badshahpur,SeemaMUNGRA BADSHAHPUR
Maharajganj,Pharenda,GEN,VIRENDRA CHAUDHARY,M,GEN,42,INC,73958,2,198963,333601,BAJRANG BAHADUR SINGH,BJP,VIRENDRA CHAUDHARYPharenda,Virendra ChaudharyPHARENDA,Virendra Chaudhary,PHARENDA,INC,1,Graduate Professional,21524000,NA,,
Bareilly,Nawabganj,GEN,VIRENDERA SINGH GANGWAR,M,GEN,60,BSP,18948,4,216120,315060,BHAGWAT SARAN GANGWAR,SP,VIRENDERA SINGH GANGWARNawabganj,Virender Singh GangwarNAWABGANJ,Virender Singh Gangwar,NAWABGANJ,BSP,0,12th Pass,22149461,NA,SANJAY PANDEYVishwanathganj,Sanjay PandeyVISHWANATH GANJ
Basti,Harraiya,GEN,VIPIN KUMAR SHUKLA,M,GEN,46,BSP,39749,3,214721,368897,RAJKISHOR SINGH,SP,VIPIN KUMAR SHUKLAHarraiya,Vipin KumarHARRAIYA,Vipin Kumar,HARRAIYA,BSP,1,10th Pass,74725290,1,MANOJ KASHYAPJalalabad,Manoj KumarJALALABAD
Etah,Etah,GEN,VIPIN KUMAR DAVID,M,GEN,46,BJP,82516,1,201760,317254,ASHISH KUMAR YADAV,SP,VIPIN KUMAR DAVIDEtah,Vipin KumarETAH,Vipin Kumar,ETAH,BJP,0,Graduate,108261476,NA,JAI PRAKASH NISHADRudrapur,Jai PrakashRUDRAPUR
Kushinagar,Tamkuhi Raj,GEN,VINOD KUMAR BHARTI,M,SC,35,BMUP,674,12,215295,378534,AJAY KUMAR 'LALLOO',INC,VINOD KUMAR BHARTITamkuhi Raj,VinodTAMKUHI RAJ,Vinod,TAMKUHI RAJ,Bahujan Mukti Party,0,Post Graduate,687200,NA,,
Gautam Buddha Nagar,Jewar,GEN,VINOD,M,GEN,46,rpsn,1241,6,211424,322998,VEDRAM BHATI,BSP,VINODJewar,VinodJEWAR,Vinod,JEWAR,Republican Sena,0,10th Pass,201592,NA,,
Gorakhpur,Gorakhpur Urban,GEN,VINOD KUMAR RAI,M,GEN,45,RLD,946,5,219439,429226,DR RADHA MOHAN DAS AGARWAL,BJP,VINOD KUMAR RAIGorakhpur Urban,VinodGORAKHPUR URBAN,Vinod,GORAKHPUR URBAN,Bahujan Mukti Party,0,Graduate Professional,64712,NA,LEENA TIWARIMariyahu,LeenaMARIYAHU
