DIST_NAME,AC_NAME,AC_TYPE,Name,Gender,Caste,Age,Party,Votes,POSITION,Polled,Electors,MLA.12,Party.12,,Match,cand,const,party,Criminal Case ,Education ,Total Assets,ser,ABBAS AHAMADMariyahu,Abbas AhmadMARIYAHU
Kanpur Nagar,KIDWAI NAGAR,GEN,AJAY KAPOOR,M,GEN,51,INC,77424,2,205134,354693,AJAY KAPOOR,INC,AJAY KAPOORKIDWAI NAGAR,Ajay KapoorKIDWAI NAGAR,Ajay Kapoor,KIDWAI NAGAR,INC,1,Graduate,313990086,1,,
Varanasi,Shivpur,GEN,AJAY GUPTA,M,GEN,32,RPI(A),368,17,227911,341279,UDAY LAL MAURYA,BSP,AJAY GUPTAShivpur,Ajay GuptaSHIVPUR,Ajay Gupta,SHIVPUR,RPI(A),0,8th Pass,133000,NA,,
Kushinagar,Khadda,GEN,AJAY GOVIND RAO,M,GEN,44,SHS,4721,6,195343,311729,VIJAY KUMAR DUBEY,INC,AJAY GOVIND RAOKhadda,Ajay Govind RaoKHADDA,Ajay Govind Rao,KHADDA,SHS,0,12th Pass,771106,NA,,
Maharajganj,Nautanwa,GEN,AIJAZ AHMAD,M,GEN,37,BSP,26210,4,215006,349621,KAUSHAL KISHOR,INC,AIJAZ AHMADNautanwa,Aijaj AhmadNAUTANWA,Aijaj Ahmad,NAUTANWA,BSP,0,12th Pass,523068789,NA,SANGEETA SHARMABiswan,Sangita SharmaBISWAN
Firozabad,Firozabad,GEN,AHTSHAM ALI (BABAR),M,GEN,34,AIMIM,11478,4,232287,379172,MANISH ASIZA,BJP,AHTSHAM ALI (BABAR)Firozabad,Ahtsham Ali (Babar)FIROZABAD,Ahtsham Ali (Babar),FIROZABAD,All India Majlis-E-Ittehadul Muslimeen,2,12th Pass,1501000,1,,
Baghpat,Baghpat,GEN,AHMED HAMEED,M,GEN,36,BSP,61206,2,198678,301360,HEMLATA CHAUDHARY,BSP,AHMED HAMEEDBaghpat,Ahmed HameedBAGHPAT,Ahmed Hameed,BAGHPAT,BSP,0,Post Graduate,254088021,NA,,
PILIBHIT,Bisalpur,GEN,AGYASH RAM SARAN VERMA,M,GEN,68,BJP,103498,1,223221,348282,AGYS RAMSARAN VERMA,BJP,AGYASH RAM SARAN VERMABisalpur,Agyash Ramsaran VermaBISALPUR,Agyash Ramsaran Verma,BISALPUR,BJP,7,Graduate Professional,10737600,1,DR.SANGRAM YADAVAtrauliya,Dr.SangramATRAULIYA
Ambedkar Nagar,Tanda,GEN,AGYARAM,M,GEN,64,MBCOI,315,11,205727,305077,AZIMULHAQUE PAHLWAN,SP,AGYARAMTanda,AgyaramTANDA,Agyaram,TANDA,Most Backward Classes Of India,0,5th Pass,285000,NA,,
Bareilly,Aonla,GEN,AGAM KUMAR MAURYA,M,GEN,30,BSP,54192,3,181722,298075,DHARM PAL SINGH,BJP,AGAM KUMAR MAURYAAonla,Agam Kumar MauryaAONLA,Agam Kumar Maurya,AONLA,BSP,0,Graduate Professional,9315009,NA,,
Meerut,Meerut  ,GEN,AFZAL,M,GEN,46,UDFS,92,16,195526,302214,DR. LAXMIKANT BAJPAI,BJP,AFZALMeerut  ,AfzalMEERUT,Afzal,MEERUT,United Democratic Front Secular,2,8th Pass,121000,1,RAMASHRAY SONKARSaidpur ,Ramashrya SonkarSAIDPUR 
Sitapur,Biswan,GEN,AFZAAL KAUSAR,M,GEN,41,SP,71672,2,228075,317171,RAMPAL YADAV,SP,AFZAAL KAUSARBiswan,Afzal KausarBISWAN,Afzal Kausar,BISWAN,SP,0,Post Graduate,4367711,NA,GANGASARAN KHADGVANSIHasanpur,Ganga SaranHASANPUR
Gorakhpur,Pipraich,GEN,AFATAB ALAM URF GUDDU BHAIYA,M,GEN,35,BSP,69930,2,246019,386459,RAJMATI,SP,AFATAB ALAM URF GUDDU BHAIYAPipraich,Afatab Alam Urf Guddu BhaiyaPIPRAICH,Afatab Alam Urf Guddu Bhaiya,PIPRAICH,BSP,1,Graduate,39700218,NA,,
Moradabad,Kanth,GEN,AFAK ALI KHAN,M,GEN,52,RLD,3458,7,253117,355629,ANEESURREHMAN,PECP,AFAK ALI KHANKanth,Afak Ali KhanKANTH,Afak Ali Khan,KANTH,RLD,0,10th Pass,9298897,NA,,
Gorakhpur,Chauri-Chaura,GEN,ADYA,M,GEN,65,RLD,846,10,193809,339854,JAY PRAKASH,BSP,ADYAChauri-Chaura,AdyaCHAURI-CHAURA,Adya,CHAURI-CHAURA,RLD,0,Graduate Professional,12732965,NA,,
Fatehpur,Jahanabad,GEN,ADITYA PANDEY,M,GEN,55,RLD,21812,4,181500,296282,MADAN GOPAL VERMA,SP,ADITYA PANDEYJahanabad,Aditya PandeyJAHANABAD,Aditya Pandey,JAHANABAD,RLD,5,Post Graduate,45744230,1,,
Rae Bareli,Rae Bareli,GEN,ADITI SINGH,F,GEN,29,INC,128319,1,207443,351324,AKHILESH KUMAR SINGH,PECP,ADITI SINGHRae Bareli,Aditi SinghRAE BARELI,Aditi Singh,RAE BARELI,INC,0,Post Graduate,1398456,NA,,
Kannauj,Tirwa,GEN,ADIM ALI SHAH,M,GEN,30,VPI,607,6,215087,347135,VYJAI BAHADUR PAL,SP,ADIM ALI SHAHTirwa,Adim Ali ShahTIRWA,Adim Ali Shah,TIRWA,Voters Party International,0,Post Graduate,61270,NA,,
Azamgarh,Didarganj,GEN,ADIL SHAIKH,M,GEN,41,SP,58480,2,187419,341579,ADIL SHEIKH,SP,ADIL SHAIKHDidarganj,Adil ShaikhDIDARGANJ,Adil Shaikh,DIDARGANJ,SP,0,12th Pass,21528120,NA,,
Gorakhpur,Gorakhpur Rural,GEN,ADIL AKHTAR,M,GEN,64,CPI,1539,6,236018,394353,VIJAY BAHADUR YADAVA,BJP,ADIL AKHTARGorakhpur Rural,Adil AkhtarGORAKHPUR RURAL,Adil Akhtar,GORAKHPUR RURAL,CPI,0,Graduate Professional,5260100,NA,,
Shahjahanpur,Katra,GEN,ADHIWAKTA RAJEEV KASHYAP,M,GEN,44,BSP,47471,3,193001,313965,RAJESH YADAV,SP,ADHIWAKTA RAJEEV KASHYAPKatra,Adhivakta Rajeev KashyapKATRA,Adhivakta Rajeev Kashyap,KATRA,BSP,0,Post Graduate,8119359,NA,NETRAPALKishani (SC),NetrapalKISHNI 
Muzaffarnagar,Khatauli,GEN,ADESH,M,SC,29,BBPP,315,11,213118,298738,KARTAR SINGH BHADANA,RLD,ADESHKhatauli,AdeshKHATAULI,Adesh,KHATAULI,Bharatiya Bahujan Parivartan Party,0,8th Pass,43110,NA,,
Kheri,MOHAMMDI,GEN,ADESH KUMAR,M,GEN,37,JAM,1207,5,219146,315263,AWASTHI BALA PRASAD,BSP,ADESH KUMARMOHAMMDI,Adesh KumarMOHAMMDI,Adesh Kumar,MOHAMMDI,Jan Adhikar Manch,0,8th Pass,590429,NA,,
Banda,Tindwari,GEN,ACHCHHE LAL,M,GEN,60,JANADIP,823,10,184911,309634,DALJEET SINGH,INC,ACHCHHE LALTindwari,Achchhe LalTINDWARI,Achchhe Lal,TINDWARI,Jan Adhikar Party,0,Literate,16218200,NA,,
Fatehpur,Bindki,GEN,ACHARYA SUBHASH CHANDRA TRIPATHI,M,GEN,46,AkBSD,1493,9,183975,297115,SUKHADEV PRASAD VERMA,BSP,ACHARYA SUBHASH CHANDRA TRIPATHIBindki,Acharya Subhash Chandra TripathiBINDKI,Acharya Subhash Chandra Tripathi,BINDKI,Akhil Bhartiya Swarajya Dal,0,Post Graduate,806644,NA,,
Azamgarh,Phoolpur Pawai,GEN,ABUL QAIS AZMI,M,GEN,34,BSP,61140,2,178473,304955,SHYAM BAHADUR SINGH YADAV,SP,ABUL QAIS AZMIPhoolpur Pawai,Abul QaisPHOOLPUR PAWAI,Abul Qais,PHOOLPUR PAWAI,BSP,0,10th Pass,6963184,NA,SHRAVANAtrauliya,AkhandATRAULIYA
Sultanpur,Isauli,GEN,ABRAR AHMAD,M,GEN,66,SP,51583,1,192136,339883,ABRAR AHMAD,SP,ABRAR AHMADIsauli,Abrar AhmadISAULI,Abrar Ahmad,ISAULI,SP,0,8th Pass,7097759,NA,,
Budaun,Badaun,GEN,ABID RAZA KHAN,M,GEN,44,SP,70847,2,212751,353550,ABID RAZA KHAN,SP,ABID RAZA KHANBadaun,Abid Raza KhanBADAUN,Abid Raza Khan,BADAUN,SP,0,Graduate,59778561,NA,,
Maharajganj,Nautanwa,GEN,ABHISHEK JOSHI,M,GEN,26,JANADIP,927,10,215006,349621,KAUSHAL KISHOR,INC,ABHISHEK JOSHINautanwa,AbhishekNAUTANWA,Abhishek,NAUTANWA,Jan Adhikar Party,0,12th Pass,2679090,NA,SANGRAM SINGH YADAVPhephana,Sangram SinghPHEPHANA
Hardoi,Bilgram-Mallanwan,GEN,ABHISHEK PATEL,M,GEN,25,BKrD,559,10,222332,357744,BRIJESH KUMAR,BSP,ABHISHEK PATELBilgram-Mallanwan,Abhishek PatelBILGRAM MALLANWAN,Abhishek Patel,BILGRAM MALLANWAN,Bhartiya Krishak Dal,0,Graduate,328088,NA,DR. KUNWAR SAIN SAINIAmroha,Dr. Kunwer Sain SainiAMROHA
Lucknow,Lucknow North,GEN,ABHISHEK MISHR,M,GEN,39,SP,82039,2,226896,403296,ABHISHEK MISHRA,SP,ABHISHEK MISHRLucknow North,Abhishek MishrLUCKNOW NORTH,Abhishek Mishr,LUCKNOW NORTH,SP,0,Doctorate,21474262,NA,,
Jaunpur,Jaunpur,GEN,ABHISHEK KUMAR,M,GEN,33,SARSAMP,1008,9,225593,390593,NADEEM JAVED,INC,ABHISHEK KUMARJaunpur,Abhishek KumarJAUNPUR,Abhishek Kumar,JAUNPUR,Sarv Sambhaav Party,0,Others,8160000,NA,,
Varanasi,Varanasi South,GEN,ABHISHEK KUMAR SINGH,M,GEN,39,JANADIP,127,14,178852,281290,SHYAMDEV ROY CHAUDHARI (DADA),BJP,ABHISHEK KUMAR SINGHVaranasi South,Abhishek Kumar SinghVARANASI SOUTH,Abhishek Kumar Singh,VARANASI SOUTH,Jan Adhikar Party,0,Graduate,384637,NA,,
Chitrakoot,Manikpur,GEN,ABHISHEK DWIVEDI,M,GEN,25,SWAP,1249,13,194632,325694,CHANDRABHAN SINGH PATEL,BSP,ABHISHEK DWIVEDIManikpur,Abhishek DwivediMANIKPUR,Abhishek Dwivedi,MANIKPUR,Swabhiman Party,2,Graduate Professional,7508000,1,,
Fatehpur,Bindki,GEN,ABHIMANYU SINGH,M,GEN,36,INC,2002,5,183975,297115,SUKHADEV PRASAD VERMA,BSP,ABHIMANYU SINGHBindki,Abhimanyu SinghBINDKI,Abhimanyu Singh,BINDKI,INC,0,Graduate,162589720,NA,,
Kanpur Nagar,Bithoor,GEN,ABHIJEET SINGH SANGA,M,SC,34,BJP,113289,1,230569,354102,MUNINDRA SHUKLA,SP,ABHIJEET SINGH SANGABithoor,Abhijeet Singh SangaBITHOOR,Abhijeet Singh Sanga,BITHOOR,BJP,10,Graduate,44274840,1,,
Faizabad,Goshainganj,GEN,ABHAY SINGH,M,GEN,42,SP,77966,2,227428,376167,ABHAY SINGH,SP,ABHAY SINGHGoshainganj,Abhay SinghGOSHAINGANJ,Abhay Singh,GOSHAINGANJ,SP,8,Graduate,52962105,1,,
Deoria,Deoria,GEN,ABHAY NATH TRIPATHI,M,GEN,48,BSP,29218,3,183308,324208,JANMEJAI SINGH,BJP,ABHAY NATH TRIPATHIDeoria,Abhay Nath TripathiDEORIA,Abhay Nath Tripathi,DEORIA,BSP,0,Post Graduate,14750201,NA,,
Pratapgarh,Raniganj,GEN,ABHAY KUMAR ALIAS DHIRAJ OJHA,M,GEN,37,BJP,67031,1,177301,315821,PRO. SHIVAKANT OJHA,SP,ABHAY KUMAR ALIAS DHIRAJ OJHARaniganj,Abhay Kumar Urf Dhiraj OjhaRANIGANJ,Abhay Kumar Urf Dhiraj Ojha,RANIGANJ,BJP,4,Graduate Professional,14605971,1,SUNITA SINGHNehtaur,Sunita SinghNEHTAUR 
Shamli,Thana Bhawan,GEN,ABDUL WARIS KHAN,M,GEN,36,BSP,74178,2,212707,311405,SURESH KUMAR,BJP,ABDUL WARIS KHANThana Bhawan,Abdul Waris KhanTHANA BHAWAN,Abdul Waris Khan,THANA BHAWAN,BSP,0,Graduate Professional,58806919,NA,,
Baharaich,Nanpara,GEN,ABDUL WAHEED,M,GEN,53,BSP,25430,3,193103,331660,MADHURI VERMA,INC,ABDUL WAHEEDNanpara,Abdul WaheedNANPARA,Abdul Waheed,NANPARA,BSP,0,Graduate,9862100,NA,,
Kanpur Dehat,Akbarpur - Raniya,GEN,ABDUL SATTAR,M,GEN,74,BMUP,573,12,203275,308135,RAMSWAROOP SINGH,SP,ABDUL SATTARAkbarpur - Raniya,Abdul SattarAKBARPUR-RANIYA,Abdul Sattar,AKBARPUR-RANIYA,Bahujan Mukti Party,0,8th Pass,685000,NA,AMAAN AKHTARVaranasi North,Aman AkhtarVARANASI NORTH
