bad_flag,tenure,margin,amtfin,exist
0,36,0.023399697,13.81009693,0
0,36,0.362785705,13.16158409,1
0,47,0.114688337,13.14783617,1
0,23,0.228420364,12.89921983,0
0,40,0.050691544,13.11634531,0
0,35,0.1625492,13.01700286,1
0,20,0.41093233,12.2216999,1
0,33,0.157502162,12.61153775,1
0,44,0.141542577,12.58450908,0
0,44,0.095087413,12.66349749,1
0,47,0.129119627,12.61153775,1
0,36,0.32319411,12.82839492,1
0,48,0.300785588,13.65299163,0
0,47,0.1,13.60478953,0
0,35,0.055600572,13.12236338,1
0,33,0.151720517,12.82125828,0
0,46,0.221920958,13.65299163,1
0,48,0,14.05727957,1
0,35,0.100622458,12.81311713,0
1,47,0.099999923,14.66932869,0
0,33,0.184825681,13.71585595,1
0,33,0.184825681,13.71585595,1
0,33,0.184825681,13.71585595,1
0,35,0.514563107,13.12236338,1
0,45,0.113300493,13.71015004,1
0,35,0.042616303,13.67048479,0
0,35,0.042616303,13.67048479,0
0,45,0.22986699,13.81551056,1
0,35,0.071053425,13.04979268,1
1,47,0.156288231,12.10071213,1
0,22,0.243959234,12.20607265,1
0,24,0.055626637,13.04979268,1
0,24,0.05059648,14.05452746,0
0,48,0.050209168,12.67576373,1
0,47,0.100808268,13.19375337,1
0,34,0.252873563,11.77528973,1
0,24,0.050713154,13.30301688,1
0,46,0.152653918,12.85084333,1
0,47,0.091041893,14.15198279,0
0,22,0.426937554,13.07107008,1
0,45,0.202101257,13.66468767,0
0,47,0.065371429,12.92122591,1
0,60,0.156626506,13.45883561,1
0,34,0.329908676,12.58963292,1
0,33,0.106145251,11.98292909,1
0,48,0.346601287,12.30138283,1
0,47,0.052703249,13.41801362,1
0,34,0.021052632,13.23211424,1
0,47,0.184910528,12.49369222,1
0,34,0.040248565,12.72233347,1
1,48,0.090371583,13.71015004,1
0,35,0.109634748,13.08777193,1
0,47,0.046646072,13.89261048,1
0,43,0.050248445,13.94566124,1
0,34,0.201101928,11.88448902,1
0,60,0.145844909,13.84506936,0
0,33,0.054363984,13.52782849,1
1,47,0.15,13.31751889,1
0,35,0.147723237,13.71015004,0
0,47,0.150855452,12.52815614,1
0,41,0,14.1303213,0
1,59,0,13.89893217,0
0,39,0.302465088,13.12236338,0
0,33,0.050209205,13.94214321,1
0,35,0.096073007,13.80156375,1
0,35,0.264031361,12.91201265,0
0,36,0.306791365,13.45883561,1
0,34,0.164352941,12.78029551,1
0,36,0.100536726,13.8508777,1
0,46,0,14.06158908,1
0,34,0.011881522,12.70076889,0
0,48,0.046046861,12.89169156,0
0,47,0.15,13.89985171,1
0,46,0,13.81551056,1
0,47,0.100529101,13.83531319,0
0,45,0.368315901,12.27839331,1
0,47,0.121447028,13.42984808,1
0,46,0.13027529,14.58885428,1
